Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,11245186,0,"Saturday, February 16, 2013 04:38:16 UTC",35.4260,-118.4667,1.2,6.50,22,"Central California"
us,c000f8be,A,"Saturday, February 16, 2013 04:37:36 UTC",5.7587,125.8378,6.2,98.20,238,"Mindanao, Philippines"
pr,13047002,0,"Saturday, February 16, 2013 04:23:05 UTC",17.9491,-66.0603,2.6,24.00, 5,"Puerto Rico region"
nc,71938340,0,"Saturday, February 16, 2013 03:46:54 UTC",38.7543,-122.7180,1.2,2.00,18,"Northern California"
pr,13047001,0,"Saturday, February 16, 2013 03:40:41 UTC",19.7280,-64.2740,3.3,13.00, 7,"Virgin Islands region"
nc,71938320,1,"Saturday, February 16, 2013 02:51:29 UTC",38.8107,-122.8080,2.3,2.90,48,"Northern California"
ak,10657003,1,"Saturday, February 16, 2013 02:41:40 UTC",64.2383,-150.3503,1.4,3.00, 7,"Central Alaska"
pr,13047000,0,"Saturday, February 16, 2013 02:41:03 UTC",18.0928,-65.0071,2.6,7.00, 5,"Virgin Islands region"
ak,10656989,1,"Saturday, February 16, 2013 02:13:48 UTC",63.9335,-148.7777,2.4,0.10,26,"Central Alaska"
nc,71938305,1,"Saturday, February 16, 2013 02:05:14 UTC",38.8220,-122.7862,1.3,2.10,22,"Northern California"
nc,71938300,0,"Saturday, February 16, 2013 02:02:42 UTC",38.7525,-122.7343,1.2,2.20,15,"Northern California"
us,c000f8a9,6,"Saturday, February 16, 2013 02:01:17 UTC",67.6540,142.4364,4.9,16.80,229,"northeastern Sakha, Russia"
us,c000f89y,8,"Saturday, February 16, 2013 01:32:48 UTC",37.3572,141.4458,4.7,34.80,156,"near the east coast of Honshu, Japan"
us,c000f89z,5,"Saturday, February 16, 2013 01:30:05 UTC",38.3398,141.8918,4.6,35.10,74,"near the east coast of Honshu, Japan"
ak,10656968,1,"Saturday, February 16, 2013 01:21:45 UTC",63.2115,-150.5518,1.6,113.60,15,"Central Alaska"
us,c000f8a8,3,"Saturday, February 16, 2013 01:20:26 UTC",-26.2824,71.5844,5.0,9.00,64,"Mid-Indian Ridge"
uw,60506471,1,"Saturday, February 16, 2013 01:10:37 UTC",46.1880,-123.1027,1.1,18.00,20,"Washington"
nc,71938285,0,"Saturday, February 16, 2013 01:06:24 UTC",38.4485,-121.9885,2.3,0.10, 8,"Northern California"
nc,71938265,0,"Saturday, February 16, 2013 00:28:56 UTC",38.7752,-122.7558,1.1,0.60,13,"Northern California"
hv,60450437,2,"Saturday, February 16, 2013 00:21:03 UTC",19.3792,-155.4117,2.5,10.40,38,"Island of Hawaii, Hawaii"
ak,10656956,1,"Saturday, February 16, 2013 00:07:15 UTC",65.0710,-147.2305,1.7,11.30,11,"northern Alaska"
nc,71938245,0,"Saturday, February 16, 2013 00:05:45 UTC",38.8118,-122.7820,1.4,0.60,23,"Northern California"
nc,71938240,0,"Friday, February 15, 2013 23:59:56 UTC",35.9597,-120.5143,1.6,2.70,20,"Central California"
us,c000f88s,5,"Friday, February 15, 2013 23:48:29 UTC",28.7776,139.4584,4.3,459.10,52,"Bonin Islands, Japan region"
ak,10656758,1,"Friday, February 15, 2013 23:28:04 UTC",63.0636,-151.5960,1.2,19.00, 4,"Central Alaska"
ak,10656756,1,"Friday, February 15, 2013 23:28:01 UTC",61.3533,-150.1169,1.8,34.50, 9,"Southern Alaska"
nc,71938220,1,"Friday, February 15, 2013 23:03:55 UTC",38.8125,-122.8100,1.0,3.60,23,"Northern California"
ak,10656748,1,"Friday, February 15, 2013 23:02:16 UTC",63.3647,-151.7969,1.8,2.40, 7,"Central Alaska"
nc,71938215,1,"Friday, February 15, 2013 22:58:30 UTC",40.3980,-124.3872,2.9,29.60,22,"offshore Northern California"
ci,11245138,0,"Friday, February 15, 2013 22:28:34 UTC",33.1632,-116.4302,1.4,4.90,40,"Southern California"
nn,00403296,9,"Friday, February 15, 2013 22:23:47 UTC",38.0289,-118.0073,2.3,8.80,18,"Nevada"
uw,60506416,1,"Friday, February 15, 2013 22:16:20 UTC",49.4187,-120.4813,2.3,0.00,13,"British Columbia, Canada"
ak,10656718,1,"Friday, February 15, 2013 21:49:46 UTC",58.3660,-151.8600,2.7,125.00,12,"Kodiak Island region, Alaska"
nc,71938165,1,"Friday, February 15, 2013 21:39:31 UTC",39.8717,-122.6878,2.7,8.60,18,"Northern California"
ci,11245122,0,"Friday, February 15, 2013 21:37:18 UTC",34.2362,-117.4353,1.7,14.80,24,"Southern California"
ak,10656709,1,"Friday, February 15, 2013 21:23:57 UTC",63.4953,-151.3415,1.6,3.30, 9,"Central Alaska"
ak,10656705,1,"Friday, February 15, 2013 21:21:15 UTC",62.7984,-149.8121,1.8,67.30,10,"Central Alaska"
us,c000f84c,3,"Friday, February 15, 2013 21:20:52 UTC",-18.9144,-176.2580,5.1,15.90,175,"Fiji region"
nc,71938150,3,"Friday, February 15, 2013 21:18:20 UTC",39.6737,-123.5383,3.3,4.60,21,"Northern California"
nc,71938145,1,"Friday, February 15, 2013 21:17:55 UTC",38.8233,-122.8253,1.6,2.60,28,"Northern California"
nc,71938140,1,"Friday, February 15, 2013 21:17:00 UTC",38.8238,-122.8257,1.7,2.70,28,"Northern California"
nn,00403277,9,"Friday, February 15, 2013 21:05:36 UTC",38.0228,-118.0593,1.3,11.90, 9,"Nevada"
ci,11245090,0,"Friday, February 15, 2013 21:01:29 UTC",33.9408,-117.1577,1.3,14.40,27,"Greater Los Angeles area, California"
nn,00403275,9,"Friday, February 15, 2013 20:48:42 UTC",38.0453,-118.0453,1.2,0.30,10,"Nevada"
nn,00403273,9,"Friday, February 15, 2013 20:45:46 UTC",39.2077,-120.0621,1.0,9.90,18,"Northern California"
